"Image Name","PID","Session Name","Session#","Mem Usage"
"msedge.exe","6624","Console","1","25,348 K"
"msedge.exe","22804","Console","1","30,860 K"
"msedge.exe","11936","Console","1","27,856 K"
"msedge.exe","26280","Console","1","34,836 K"
"upc.exe","21576","Console","1","116,556 K"
"UplayWebCore.exe","13148","Console","1","17,792 K"
"UplayWebCore.exe","27300","Console","1","28,288 K"
"UplayWebCore.exe","7836","Console","1","44,912 K"
"UplayWebCore.exe","22596","Console","1","179,380 K"
"UplayWebCore.exe","25764","Console","1","22,780 K"
"audiodg.exe","6656","Services","0","18,996 K"
"msedge.exe","13424","Console","1","106,632 K"
"UplayWebCore.exe","516","Console","1","31,852 K"
"steamwebhelper.exe","4080","Console","1","103,920 K"
"Dropbox.exe","9816","Console","1","62,092 K"
"nvcontainer.exe","27004","Console","1","52,388 K"
"mstsc.exe","3680","Console","1","106,984 K"
"msedge.exe","25120","Console","1","815,568 K"
"pwahelper.exe","28948","Console","1","14,484 K"
"msedge.exe","25416","Console","1","40,856 K"
"msedge.exe","5280","Console","1","44,700 K"
"msedge.exe","2212","Console","1","25,800 K"
"CalculatorApp.exe","28036","Console","1","2,400 K"
"RuntimeBroker.exe","23996","Console","1","7,580 K"
"WindowsTerminal.exe","29224","Console","1","79,240 K"
"OpenConsole.exe","13860","Console","1","10,184 K"
"cmd.exe","25088","Console","1","17,364 K"
"RadNotepad.exe","5536","Console","1","72,792 K"
"msedge.exe","2952","Console","1","112,376 K"
"msedge.exe","8568","Console","1","53,124 K"
"msedge.exe","20540","Console","1","88,712 K"
"msedge.exe","6236","Console","1","66,220 K"
"msedge.exe","20884","Console","1","50,600 K"
"msedge.exe","2524","Console","1","50,716 K"
"msedge.exe","22780","Console","1","55,644 K"
"msedge.exe","5004","Console","1","67,900 K"
"msedge.exe","7208","Console","1","50,072 K"
"msedge.exe","20840","Console","1","52,904 K"
"msedge.exe","27496","Console","1","52,680 K"
"msedge.exe","10060","Console","1","51,076 K"
"msedge.exe","3852","Console","1","71,424 K"
"msedge.exe","29056","Console","1","29,756 K"
"msedge.exe","19944","Console","1","44,396 K"
"msedge.exe","24728","Console","1","18,212 K"
"msedge.exe","6672","Console","1","35,368 K"
"msedge.exe","27628","Console","1","9,236 K"
